age,job,marital,education,default,balance,housing,loan,uid
35,blue-collar,single,secondary,no,406,yes,no,10042
49,services,married,primary,no,4713,yes,no,27456
34,blue-collar,single,secondary,no,1484,yes,no,4303
51,blue-collar,married,secondary,no,955,no,yes,42519
37,services,married,secondary,no,321,yes,no,36197
69,retired,married,unknown,no,647,no,no,31429
46,admin.,married,secondary,no,974,no,no,40120
41,entrepreneur,divorced,secondary,no,1588,yes,yes,12026
40,blue-collar,married,unknown,no,1181,yes,no,29850
32,admin.,single,tertiary,no,170,no,no,24804
34,admin.,married,secondary,no,920,no,no,43715
29,management,married,tertiary,no,8,yes,no,38029
39,services,married,secondary,no,2813,no,no,10430
33,unemployed,married,secondary,no,1211,no,no,40706
28,services,single,secondary,no,-260,yes,no,2214
38,blue-collar,married,primary,no,6843,no,no,8077
41,blue-collar,married,secondary,no,4900,yes,no,18406
34,technician,married,secondary,no,0,no,no,23577
27,admin.,married,secondary,no,133,yes,yes,2010
31,management,single,secondary,no,0,yes,no,4385
46,entrepreneur,married,tertiary,no,-43,no,no,2262
38,services,married,secondary,no,129,yes,no,34694
29,blue-collar,single,tertiary,no,1012,yes,no,4162
28,services,single,secondary,no,373,yes,no,38998
34,services,single,secondary,no,267,no,no,44107
39,management,single,tertiary,no,2357,yes,no,33503
22,self-employed,single,tertiary,no,780,no,no,43323
30,blue-collar,single,secondary,no,16,yes,no,4188
38,blue-collar,single,primary,no,947,yes,no,36903
56,retired,married,unknown,no,230,no,no,41492
39,management,divorced,tertiary,no,547,yes,no,28196
35,management,married,unknown,no,1128,yes,no,8710
34,self-employed,married,secondary,no,179,yes,yes,16576
43,management,married,unknown,no,275,no,no,31901
37,admin.,married,secondary,no,637,no,no,9186
33,services,married,primary,no,908,yes,yes,14431
44,blue-collar,married,secondary,yes,-617,yes,no,1326
38,technician,single,secondary,no,46,no,no,22902
39,admin.,single,secondary,no,720,yes,no,25250
35,technician,married,secondary,no,518,yes,no,34030
38,housemaid,divorced,tertiary,no,4312,no,no,38195
55,management,married,tertiary,no,1161,yes,no,26303
28,blue-collar,single,secondary,no,643,no,no,40473
52,management,married,tertiary,no,4675,no,no,43022
46,entrepreneur,divorced,tertiary,no,567,yes,no,24525
58,housemaid,married,primary,no,237,no,no,15500
41,unemployed,married,secondary,no,356,yes,no,3883
47,unknown,married,unknown,no,301,no,no,19066
42,technician,married,secondary,no,8036,no,no,10000
40,technician,married,secondary,no,4441,yes,no,26515
33,management,married,tertiary,no,1122,no,no,33935
46,technician,divorced,secondary,yes,-11,no,no,20196
38,technician,married,secondary,no,922,yes,yes,15158
33,services,married,secondary,no,1785,yes,no,7527
26,student,single,secondary,no,5296,no,no,43217
40,self-employed,married,tertiary,no,355,yes,no,15194
43,admin.,married,secondary,no,2,yes,yes,15973
46,admin.,married,secondary,no,0,no,no,19055
32,student,married,secondary,no,833,yes,no,42113
32,technician,married,secondary,no,950,yes,no,27242
40,blue-collar,married,primary,no,-476,yes,no,7520
36,services,married,secondary,no,1694,yes,yes,5545
31,admin.,single,secondary,no,391,yes,no,32550
44,services,married,secondary,no,3843,yes,no,24596
58,housemaid,married,primary,no,7881,no,no,23621
36,admin.,single,secondary,no,268,no,yes,28339
46,management,married,tertiary,no,197,no,no,26554
34,blue-collar,married,primary,no,2720,yes,no,27694
43,management,married,tertiary,no,479,yes,no,30626
21,student,single,secondary,no,491,no,no,40664
40,blue-collar,married,secondary,no,10,yes,no,1833
40,blue-collar,married,secondary,no,5,yes,no,38595
38,admin.,married,tertiary,no,1980,no,no,19119
55,management,married,tertiary,no,3848,yes,no,43430
51,housemaid,married,secondary,no,603,no,no,22732
31,self-employed,single,secondary,no,0,yes,no,14714
36,services,married,secondary,no,3740,yes,no,31702
36,blue-collar,married,secondary,no,325,no,no,32085
30,technician,single,primary,no,2731,yes,no,32062
33,blue-collar,married,primary,no,2064,yes,no,18757
44,technician,divorced,secondary,no,14,no,no,42278
34,management,married,tertiary,no,271,yes,no,43049
33,technician,married,tertiary,no,15,no,no,22156
49,technician,married,primary,no,1415,yes,no,17966
35,management,single,tertiary,no,7218,no,no,41091
51,management,divorced,tertiary,no,1937,yes,no,25351
39,blue-collar,divorced,secondary,no,94,yes,no,7404
43,management,married,tertiary,no,0,no,no,29211
44,technician,married,secondary,no,8938,yes,no,8575
47,housemaid,divorced,secondary,no,80,no,no,41179
36,services,divorced,secondary,no,543,yes,no,32615
33,management,married,tertiary,no,643,no,no,44364
31,student,single,secondary,no,216,no,no,39982
52,technician,married,secondary,no,337,yes,no,35884
83,retired,divorced,primary,no,0,no,no,43833
59,retired,married,primary,no,363,no,no,33874
37,admin.,married,secondary,no,131,no,no,24585
55,technician,divorced,tertiary,no,0,no,no,41140
48,services,married,secondary,no,1555,no,no,28961
54,services,married,primary,no,198,yes,no,18667
33,management,married,tertiary,no,110,yes,yes,32493
35,blue-collar,married,secondary,no,667,no,no,26449
56,management,married,unknown,no,353,no,yes,16875
29,admin.,married,tertiary,no,332,no,no,31915
46,admin.,married,secondary,no,0,yes,yes,33483
33,technician,divorced,secondary,no,855,yes,no,38544
27,technician,single,secondary,no,1742,yes,no,3805
30,services,married,secondary,no,419,yes,no,6660
24,self-employed,single,tertiary,no,2376,no,no,33835
51,management,married,unknown,no,721,no,no,10520
41,entrepreneur,married,secondary,no,-1882,yes,no,25242
36,management,single,tertiary,no,900,no,no,19380
50,blue-collar,married,primary,no,2142,yes,no,28562
47,technician,married,primary,no,235,no,no,43189
29,services,married,secondary,no,489,yes,no,32072
39,blue-collar,married,secondary,no,98,no,no,18589
32,management,single,tertiary,no,1010,yes,no,14893
34,management,married,secondary,no,42,no,no,22554
51,unemployed,married,tertiary,no,1801,no,no,40416
32,technician,married,secondary,no,5122,no,no,20887
44,blue-collar,married,secondary,no,17,yes,no,11533
23,blue-collar,single,secondary,no,105,yes,no,4017
36,admin.,married,secondary,no,470,yes,no,18502
30,management,single,tertiary,no,347,no,no,22382
33,services,married,secondary,no,1553,yes,no,6416
54,management,married,tertiary,no,1464,no,no,40387
32,blue-collar,married,secondary,no,0,no,no,13922
50,blue-collar,married,secondary,no,19,no,no,15212
47,entrepreneur,married,unknown,no,1481,yes,no,34876
24,technician,single,tertiary,no,1954,yes,yes,6223
27,blue-collar,married,secondary,no,106,yes,no,1518
38,services,married,unknown,no,15,yes,no,39050
47,admin.,single,secondary,no,2540,no,no,25190
46,services,married,secondary,no,-204,yes,yes,17386
35,management,single,tertiary,no,250,no,no,11600
41,blue-collar,married,primary,no,-97,yes,no,1605
37,management,single,tertiary,no,600,yes,no,267
52,technician,divorced,secondary,no,137,yes,no,7929
35,management,married,tertiary,no,2461,no,no,40298
35,admin.,married,secondary,no,640,no,no,9596
39,entrepreneur,married,tertiary,no,345,yes,yes,17786
39,blue-collar,married,primary,no,780,yes,no,4532
25,blue-collar,single,secondary,no,495,no,no,13021
39,management,married,tertiary,no,3,yes,no,35261
26,technician,single,secondary,no,261,yes,no,6498
44,blue-collar,married,secondary,no,0,yes,no,2769
59,management,married,secondary,no,966,no,no,15794
55,self-employed,married,secondary,no,100,no,no,22422
54,admin.,married,secondary,no,3136,yes,no,32043
36,technician,married,secondary,no,480,no,no,41905
33,management,single,tertiary,no,0,no,no,23447
46,unemployed,single,tertiary,no,705,no,no,29919
46,blue-collar,married,primary,no,346,yes,no,3348
57,management,married,tertiary,no,1171,no,no,20008
26,blue-collar,single,secondary,no,856,yes,yes,18154
59,management,married,tertiary,no,4606,no,no,44646
31,technician,divorced,secondary,no,202,yes,no,15309
33,management,single,tertiary,no,1021,no,no,29201
32,management,married,tertiary,no,81,yes,no,24484
54,management,married,tertiary,yes,-248,yes,yes,853
37,blue-collar,married,primary,no,53,yes,no,4361
37,blue-collar,married,primary,no,-325,yes,yes,590
46,admin.,married,secondary,no,70,yes,no,31422
49,admin.,single,secondary,no,716,yes,no,3315
53,management,divorced,tertiary,no,3370,no,no,41917
38,technician,divorced,tertiary,yes,-530,yes,no,4823
31,technician,married,tertiary,no,338,no,no,19256
37,admin.,married,secondary,no,0,yes,no,43429
54,management,married,tertiary,yes,153,no,no,9789
55,management,married,tertiary,no,568,no,no,20680
29,technician,single,secondary,no,6,no,no,39521
41,technician,married,secondary,no,-312,yes,no,36139
51,blue-collar,married,secondary,no,1840,yes,no,21436
30,services,married,secondary,no,586,yes,no,26339
43,entrepreneur,married,tertiary,no,396,no,no,10198
54,blue-collar,married,secondary,no,285,yes,yes,28763
47,technician,married,primary,no,434,yes,yes,34708
34,management,divorced,tertiary,no,0,yes,no,25826
35,technician,married,secondary,no,1092,no,no,38977
56,retired,married,secondary,no,5737,no,no,30204
36,management,married,tertiary,no,93,no,no,42611
52,services,married,secondary,no,961,no,yes,43071
40,management,single,tertiary,no,171,no,no,21635
30,technician,married,secondary,no,-189,no,no,21657
54,technician,divorced,secondary,no,83,yes,no,721
42,housemaid,married,primary,no,83,no,yes,19677
37,technician,single,secondary,no,779,yes,no,6669
31,technician,single,secondary,no,218,no,no,22992
35,entrepreneur,married,tertiary,no,0,no,no,25349
53,blue-collar,married,secondary,no,380,yes,yes,34827
51,management,married,tertiary,no,248,yes,yes,24532
33,management,married,tertiary,no,1778,no,no,39570
26,management,single,tertiary,no,1623,no,no,39848
41,technician,married,tertiary,no,3700,no,no,25810
51,retired,married,secondary,no,806,no,no,11708
57,unemployed,divorced,secondary,no,3,no,no,26172
37,blue-collar,married,primary,no,351,no,no,9741
35,technician,single,secondary,no,365,yes,no,1312
51,retired,married,primary,no,34,yes,no,14786
35,management,single,tertiary,no,1531,yes,no,25696
31,self-employed,married,tertiary,no,2666,no,no,44102
33,services,married,secondary,no,610,no,yes,21487
56,housemaid,married,secondary,no,594,yes,yes,12304
32,management,single,tertiary,no,2974,yes,no,33809
34,technician,single,secondary,no,268,yes,no,35839
54,management,married,tertiary,no,752,no,no,44325
35,technician,married,secondary,no,587,no,yes,27665
23,admin.,married,secondary,no,349,yes,no,38834
40,blue-collar,single,secondary,no,0,yes,no,6085
33,services,single,unknown,no,2297,no,no,44299
54,management,married,primary,no,3859,no,yes,26802
54,entrepreneur,married,secondary,no,0,yes,no,34623
32,management,single,tertiary,no,2974,yes,no,33276
39,blue-collar,married,secondary,yes,-16,no,no,7255
51,technician,divorced,secondary,no,43,no,no,17974
22,student,single,unknown,no,466,no,no,40394
27,student,single,secondary,no,1423,no,no,44038
41,management,married,secondary,no,1471,yes,no,25376
39,admin.,divorced,secondary,no,83,yes,no,17894
66,housemaid,married,primary,no,1230,no,no,42516
31,technician,married,secondary,no,172,no,no,19845
37,blue-collar,married,secondary,no,0,yes,no,27129
31,admin.,divorced,secondary,no,-186,yes,no,33589
43,management,married,tertiary,no,8,no,no,20362
37,management,divorced,tertiary,no,1170,yes,yes,39033
34,management,single,tertiary,no,0,yes,no,4879
41,admin.,divorced,secondary,no,256,no,no,11463
40,management,single,tertiary,no,-275,yes,no,1429
48,technician,married,primary,no,4656,no,no,24262
53,services,married,primary,no,171,yes,yes,34631
76,housemaid,divorced,primary,no,1411,no,no,41886
40,services,married,primary,no,2469,no,yes,11523
29,services,single,secondary,no,-453,yes,no,15798
46,technician,married,tertiary,no,31630,no,no,42380
37,management,married,tertiary,no,1428,no,no,45199
31,technician,single,secondary,no,1094,yes,no,10278
54,retired,divorced,tertiary,no,6102,yes,yes,4779
26,unemployed,single,tertiary,no,102,no,no,17450
28,self-employed,single,tertiary,no,805,no,no,42232
39,blue-collar,married,secondary,no,0,yes,no,35267
38,management,single,tertiary,no,0,yes,no,24514
36,technician,single,tertiary,no,670,yes,no,32587
33,services,married,secondary,no,317,yes,no,29361
44,services,single,secondary,no,618,no,no,43671
48,blue-collar,married,secondary,no,341,yes,yes,12327
34,blue-collar,married,secondary,no,277,no,yes,12579
35,services,married,secondary,no,39,no,no,927
41,admin.,married,secondary,no,-18,yes,yes,8310
35,technician,married,secondary,no,1055,yes,no,19458
44,admin.,single,secondary,no,4492,no,yes,18803
33,technician,single,tertiary,no,231,yes,no,6542
32,management,single,tertiary,no,586,yes,no,26071
31,management,single,tertiary,no,548,yes,no,4018
40,admin.,divorced,secondary,no,-607,yes,no,35629
29,management,single,tertiary,no,266,no,no,44536
27,management,single,tertiary,no,1081,no,yes,28769
31,blue-collar,married,secondary,no,295,yes,yes,37374
52,services,divorced,secondary,no,220,yes,no,1015
56,blue-collar,married,primary,no,1798,yes,no,7436
26,management,single,tertiary,no,1,no,no,44840
47,technician,married,primary,no,187,yes,no,1685
32,blue-collar,married,secondary,no,598,yes,no,10551
36,management,divorced,tertiary,no,14930,no,no,16348
23,student,single,secondary,no,165,yes,no,31516
38,technician,single,secondary,no,12926,yes,no,8434
45,technician,single,tertiary,no,2033,no,no,43930
45,blue-collar,married,secondary,no,776,yes,no,30724
46,services,married,secondary,no,6913,no,no,10287
37,management,divorced,tertiary,no,199,yes,no,24047
36,management,married,tertiary,no,163,no,no,19241
39,technician,married,secondary,no,147,yes,no,35120
30,blue-collar,single,unknown,no,306,yes,no,32621
28,admin.,married,secondary,no,897,no,no,43319
74,retired,married,tertiary,no,1843,no,no,44792
44,technician,married,secondary,no,858,no,no,7742
37,blue-collar,single,secondary,no,6281,yes,no,38863
26,services,divorced,primary,yes,2,yes,yes,17141
31,entrepreneur,single,tertiary,yes,-405,yes,yes,20737
30,technician,single,tertiary,no,255,yes,no,1933
58,retired,married,tertiary,no,324,no,no,12075
56,services,married,secondary,no,530,yes,no,4739
56,technician,divorced,secondary,no,146,yes,no,19170
29,admin.,married,tertiary,no,111,no,no,37782
47,blue-collar,married,primary,no,9346,no,no,22479
36,blue-collar,single,primary,no,3214,yes,no,10595
52,blue-collar,married,secondary,no,-519,yes,no,9987
55,technician,divorced,tertiary,no,525,yes,no,38676
58,blue-collar,married,secondary,no,3027,yes,no,33806
57,blue-collar,married,secondary,no,5935,yes,yes,25920
54,services,married,secondary,no,171,no,yes,14355
43,management,single,tertiary,no,8224,yes,no,14638
56,housemaid,divorced,primary,yes,1238,no,no,9145
26,blue-collar,single,primary,yes,344,no,yes,17524
42,entrepreneur,married,primary,no,319,yes,no,35631
41,management,married,secondary,no,689,yes,no,7227
27,self-employed,single,tertiary,no,168,no,no,43696
54,admin.,divorced,secondary,no,-394,yes,no,38591
36,admin.,married,unknown,no,2323,no,no,25807
36,management,married,tertiary,no,348,no,yes,16117
33,management,single,tertiary,no,1962,no,no,44150
32,management,married,tertiary,no,92,no,no,12533
42,management,married,tertiary,no,0,no,no,26244
26,blue-collar,married,primary,no,755,yes,no,6648
37,admin.,married,secondary,no,99,yes,no,7419
57,retired,married,tertiary,no,42,no,no,24027
33,blue-collar,married,primary,no,716,yes,no,846
37,housemaid,married,primary,no,577,no,no,14346
47,blue-collar,married,secondary,no,480,no,no,12076
55,management,single,tertiary,no,1092,yes,yes,3619
51,admin.,married,secondary,yes,-160,no,yes,18077
58,retired,married,tertiary,no,3628,no,no,10470
35,management,single,tertiary,no,13,yes,no,38767
47,blue-collar,married,primary,no,584,yes,yes,21142
39,services,divorced,secondary,no,2,yes,yes,10145
33,technician,married,secondary,no,1940,no,no,23395
43,management,married,secondary,no,2115,yes,no,24981
37,management,married,tertiary,no,21,yes,no,30522
32,management,single,tertiary,no,438,no,no,22190
32,blue-collar,married,secondary,no,-667,yes,no,39019
41,housemaid,married,primary,no,175,no,no,13008
33,admin.,married,secondary,no,30,yes,no,34530
59,retired,married,secondary,no,0,no,no,15477
26,self-employed,single,tertiary,no,50,no,no,18234
38,self-employed,single,tertiary,no,1612,yes,no,36006
41,entrepreneur,married,unknown,no,89,yes,no,665
60,admin.,married,primary,no,686,yes,yes,14811
32,blue-collar,married,primary,no,1261,yes,no,26980
31,management,married,secondary,no,625,yes,no,31691
36,management,married,tertiary,no,0,yes,no,33586
33,management,married,tertiary,no,1412,no,no,30739
39,services,divorced,secondary,no,-185,yes,no,277
58,retired,married,secondary,no,764,no,no,20413
51,technician,married,secondary,no,52,no,no,20787
29,admin.,married,tertiary,no,238,no,no,31165
31,management,married,secondary,no,2294,no,no,21833
47,technician,divorced,unknown,no,442,yes,no,36128
40,blue-collar,divorced,unknown,no,1171,yes,no,7456
52,management,married,tertiary,no,0,no,no,39934
27,technician,single,tertiary,no,75,yes,yes,34560
35,entrepreneur,married,tertiary,no,1859,yes,no,31711
54,technician,married,secondary,no,6,yes,no,35303
44,technician,divorced,secondary,no,65,no,no,22146
23,admin.,single,secondary,no,738,yes,no,38139
44,blue-collar,married,secondary,no,1495,yes,no,41678
36,blue-collar,married,secondary,no,402,no,yes,25231
37,technician,single,secondary,no,17,yes,no,500
45,blue-collar,married,secondary,no,61,yes,yes,5493
53,admin.,married,secondary,no,-197,yes,yes,3445
31,management,single,tertiary,no,2915,no,no,29462
51,management,married,tertiary,no,974,no,no,25314
40,management,married,tertiary,no,-1737,yes,yes,18531
36,technician,married,tertiary,no,911,yes,yes,34217
40,blue-collar,married,primary,no,13,yes,no,12631
43,management,married,tertiary,no,40,no,no,31016
41,technician,married,secondary,no,0,yes,no,16603
40,management,married,tertiary,no,416,yes,no,16600
32,services,married,secondary,no,1844,yes,yes,29568
36,services,married,secondary,no,-274,no,no,12783
59,retired,married,primary,no,-119,yes,no,624
24,management,single,tertiary,no,2845,no,no,33949
27,housemaid,married,secondary,no,22,yes,yes,6390
47,housemaid,married,primary,no,20,no,yes,17320
45,management,married,tertiary,no,226,yes,no,43043
44,admin.,divorced,secondary,no,161,yes,no,767
29,blue-collar,married,secondary,no,210,no,yes,15962
27,blue-collar,single,secondary,no,1049,no,no,28610
56,management,married,tertiary,no,1407,no,no,39803
35,unemployed,married,primary,no,3285,no,no,27441
45,admin.,married,secondary,no,0,no,no,16030
31,student,single,tertiary,no,64,no,no,41581
42,entrepreneur,single,primary,no,388,no,yes,15200
37,services,single,secondary,no,174,yes,no,29077
58,housemaid,married,primary,no,935,yes,no,9536
45,entrepreneur,divorced,secondary,no,44,no,yes,28851
39,management,married,secondary,no,643,yes,no,18919
35,technician,married,secondary,no,114,yes,yes,41514
47,services,married,secondary,no,665,yes,no,21998
47,blue-collar,married,secondary,no,273,yes,no,8908
29,admin.,single,secondary,no,65,yes,no,37543
36,management,married,tertiary,no,0,yes,no,28261
59,unknown,married,unknown,no,2443,no,no,12086
33,technician,single,secondary,no,268,no,no,21722
49,technician,divorced,secondary,no,3394,yes,no,11920
45,technician,single,tertiary,no,2099,no,yes,12490
32,technician,single,tertiary,no,418,no,yes,14459
34,services,single,secondary,no,1701,yes,no,4802
39,blue-collar,married,secondary,no,130,yes,no,2320
29,blue-collar,single,secondary,no,-167,yes,no,8952
48,services,divorced,primary,no,2805,no,yes,16402
35,self-employed,single,tertiary,no,4294,no,no,12355
45,blue-collar,married,secondary,no,-183,yes,yes,23639
38,blue-collar,married,primary,no,406,yes,no,17133
58,management,married,tertiary,no,4265,yes,no,7439
46,blue-collar,married,secondary,no,15,yes,yes,21937
28,admin.,single,secondary,no,762,no,no,41608
56,retired,married,tertiary,no,87,no,no,13080
32,management,single,tertiary,no,470,no,no,21492
37,management,married,tertiary,no,-76,yes,no,27787
39,technician,single,secondary,no,400,yes,no,38519
37,management,married,tertiary,no,1330,yes,no,28225
45,entrepreneur,divorced,tertiary,no,-395,yes,no,2487
26,management,single,tertiary,no,2356,yes,no,16499
36,blue-collar,married,secondary,no,55,yes,no,35996
30,technician,single,tertiary,no,106,yes,no,37506
19,student,single,secondary,no,394,no,no,43409
32,admin.,single,secondary,no,64,yes,no,15709
42,self-employed,married,secondary,no,513,no,no,30447
30,unemployed,married,secondary,no,85,yes,yes,12896
42,blue-collar,married,secondary,no,3068,yes,yes,36351
40,services,married,primary,no,-45,no,yes,13114
42,blue-collar,married,secondary,no,1134,yes,no,6966
42,blue-collar,married,primary,no,784,no,no,33845
85,retired,married,primary,no,98,no,no,34129
30,technician,single,tertiary,no,177,no,no,20920
30,blue-collar,single,secondary,no,1472,yes,no,26864
42,management,married,tertiary,no,-700,yes,no,2852
42,technician,married,secondary,no,645,yes,yes,3087
27,technician,married,secondary,no,0,yes,yes,17307
38,management,single,tertiary,no,8,yes,no,17230
73,retired,married,primary,no,1388,no,no,45105
36,management,single,tertiary,no,1089,yes,no,7644
59,entrepreneur,divorced,secondary,no,901,yes,no,257
70,retired,married,unknown,no,1236,no,no,31325
41,services,married,secondary,no,-111,yes,no,2467
35,admin.,married,primary,no,136,yes,no,1086
34,technician,married,secondary,no,580,yes,no,38182
50,blue-collar,married,primary,no,-1,no,no,21655
25,technician,single,secondary,no,-80,yes,yes,8550
77,retired,married,primary,no,3324,no,no,43697
46,technician,single,tertiary,no,1448,no,no,24325
57,admin.,divorced,primary,no,987,no,no,10744
46,technician,married,secondary,no,190,yes,no,20561
27,admin.,single,secondary,no,1327,no,no,43445
53,management,divorced,tertiary,no,2894,yes,no,34460
38,admin.,married,tertiary,no,69,no,no,33000
37,management,single,unknown,no,715,yes,no,4514
27,technician,single,secondary,no,3485,no,yes,16912
54,technician,married,tertiary,no,98,no,no,20029
48,blue-collar,married,secondary,no,1394,yes,no,37085
33,management,married,tertiary,no,4149,no,yes,15400
60,housemaid,married,unknown,no,2769,no,no,20775
27,technician,single,tertiary,no,-67,yes,no,43428
33,services,married,secondary,no,312,yes,yes,29416
35,admin.,married,secondary,no,159,yes,no,31894
35,management,married,tertiary,no,337,no,no,20090
40,technician,married,tertiary,no,483,yes,no,216
39,technician,married,secondary,no,13165,yes,yes,22473
40,services,married,secondary,no,1688,no,no,3698
28,blue-collar,divorced,unknown,no,101,yes,no,6713
29,blue-collar,single,primary,no,105,yes,no,3809
41,services,divorced,secondary,no,840,yes,no,29245
38,management,married,secondary,no,794,yes,no,9369
35,blue-collar,married,secondary,no,260,yes,no,37183
50,entrepreneur,single,primary,no,1659,no,no,9193
50,retired,married,tertiary,no,4,yes,yes,36039
36,blue-collar,married,primary,no,599,yes,no,4949
57,services,single,primary,no,3777,yes,no,37422
35,blue-collar,single,secondary,yes,-177,yes,yes,35249
41,technician,married,secondary,no,1226,no,no,24871
29,admin.,single,secondary,no,210,no,yes,13033
50,management,married,tertiary,no,19,no,yes,16259
33,technician,divorced,tertiary,no,39,no,no,21767
45,blue-collar,married,primary,no,866,no,no,10767
25,blue-collar,single,primary,no,-221,yes,no,5408
