UID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus
10411,Feb,3,Wednesday,Toyota,Urban,Wednesday,Feb,4,Female,Single
5029,Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,1,Female,Married
10299,Sep,5,Wednesday,Honda,Urban,Thursday,Sep,5,Male,Married
13105,Dec,4,Saturday,Mazda,Urban,Tuesday,Dec,4,Male,Married
124,Feb,2,Sunday,Toyota,Urban,Monday,Feb,2,Male,Single
1815,Mar,2,Monday,Toyota,Urban,Tuesday,Mar,3,Male,Married
6561,Jan,1,Monday,Toyota,Urban,Thursday,Jan,1,Female,Widow
10258,Oct,1,Thursday,Pontiac,Urban,Friday,Oct,2,Male,Single
8495,Dec,2,Saturday,Pontiac,Rural,Monday,Dec,3,Male,Married
13383,Oct,5,Sunday,Toyota,Urban,Tuesday,Jan,4,Male,Single
2064,Nov,3,Monday,Toyota,Urban,Wednesday,Nov,4,Male,Married
14319,Sep,3,Sunday,Pontiac,Urban,Tuesday,Sep,4,Male,Married
12924,Nov,2,Friday,Accura,Urban,Monday,Nov,2,Male,Married
387,Feb,4,Sunday,Toyota,Urban,Monday,Feb,4,Male,Married
13527,Jul,3,Friday,Toyota,Urban,Monday,Jul,4,Male,Married
9031,Mar,2,Wednesday,Honda,Urban,Friday,Mar,2,Male,Single
10156,Feb,3,Thursday,Honda,Urban,Friday,Feb,3,Male,Married
12008,Jan,3,Wednesday,VW,Urban,Tuesday,Feb,1,Male,Married
2121,Apr,5,Thursday,Accura,Urban,Wednesday,May,1,Female,Married
4970,Nov,5,Thursday,Honda,Urban,Monday,Dec,1,Male,Married
11035,Jun,2,Sunday,Pontiac,Urban,Wednesday,Jun,4,Male,Married
4763,Jul,4,Monday,Pontiac,Rural,Tuesday,Jul,4,Male,Married
4102,May,5,Monday,Chevrolet,Urban,Thursday,Jun,1,Male,Single
4344,May,3,Monday,Chevrolet,Urban,Monday,May,3,Male,Single
4394,Sep,4,Monday,Mazda,Rural,Thursday,Sep,5,Male,Married
13038,Dec,2,Tuesday,Honda,Urban,Monday,Dec,3,Male,Single
12051,May,2,Monday,Accura,Urban,Wednesday,May,2,Male,Married
13154,Aug,2,Thursday,Toyota,Urban,Thursday,Aug,2,Male,Married
13575,Jan,4,Tuesday,Accura,Urban,Tuesday,Mar,3,Male,Married
2405,May,5,Sunday,Chevrolet,Rural,Tuesday,May,5,Male,Single
8275,Jul,3,Thursday,Ford,Urban,Monday,Jul,3,Male,Married
3970,Jan,4,Tuesday,Chevrolet,Urban,Friday,Jan,5,Male,Married
10422,Jan,1,Monday,Chevrolet,Urban,Wednesday,Jan,3,Male,Single
6436,Sep,3,Friday,Mazda,Urban,Wednesday,Sep,5,Male,Married
4568,Nov,2,Friday,Mazda,Urban,Friday,Nov,2,Male,Married
13238,Sep,3,Thursday,Pontiac,Urban,Friday,Sep,3,Male,Married
2874,May,2,Tuesday,Mazda,Urban,Monday,May,3,Male,Married
7517,Jul,3,Thursday,Pontiac,Urban,Saturday,Jul,4,Male,Married
3733,Apr,2,Wednesday,Mazda,Rural,Wednesday,Apr,3,Male,Married
2643,May,4,Friday,Pontiac,Urban,Thursday,Jun,1,Male,Married
1560,Dec,3,Tuesday,Honda,Urban,Wednesday,Dec,4,Male,Married
78,Feb,2,Friday,Jaguar,Rural,Tuesday,Feb,3,Female,Single
11976,Jul,1,Monday,Toyota,Urban,Monday,Jul,1,Male,Single
5100,Jan,4,Monday,Accura,Urban,Tuesday,Jan,4,Male,Married
259,Jun,5,Tuesday,Pontiac,Urban,Tuesday,Jun,5,Male,Married
9555,Mar,4,Wednesday,Toyota,Urban,Thursday,Mar,4,Male,Married
851,Mar,1,Wednesday,Mazda,Urban,Wednesday,Mar,1,Male,Single
10514,Feb,4,Saturday,Ford,Urban,Tuesday,Mar,1,Male,Married
15280,Jan,4,Tuesday,Pontiac,Urban,Tuesday,Jan,4,Male,Married
4347,Jun,2,Tuesday,Mazda,Urban,Tuesday,Jun,3,Male,Single
12603,May,5,Sunday,Mazda,Urban,Thursday,Jun,1,Male,Married
10443,Feb,2,Friday,Pontiac,Urban,Tuesday,Feb,4,Female,Single
12365,Jun,4,Monday,Ford,Rural,Wednesday,Jun,5,Male,Married
5328,Jan,1,Sunday,Chevrolet,Urban,Monday,Jan,2,Male,Married
7988,Feb,3,Tuesday,Mazda,Urban,Thursday,Feb,3,Male,Married
14487,May,3,Monday,Pontiac,Rural,Thursday,May,3,Male,Single
9278,Nov,3,Tuesday,Toyota,Urban,Wednesday,Nov,3,Female,Single
12295,Mar,4,Thursday,Mazda,Urban,Monday,Mar,5,Male,Married
12316,Oct,5,Saturday,Toyota,Urban,Wednesday,Nov,1,Male,Married
10351,Feb,1,Saturday,Saturn,Urban,Thursday,Feb,3,Female,Married
13092,Nov,2,Sunday,Mazda,Urban,Tuesday,Nov,3,Male,Married
4525,Jun,3,Tuesday,Chevrolet,Urban,Wednesday,Jul,1,Male,Married
5250,Jan,1,Saturday,Honda,Rural,Wednesday,Jan,3,Male,Single
2741,Oct,4,Thursday,Toyota,Urban,Thursday,Oct,4,Male,Single
1964,Jan,2,Sunday,Toyota,Urban,Friday,Jan,3,Female,Single
4590,May,2,Friday,Chevrolet,Urban,Thursday,May,3,Male,Married
1414,Jan,1,Thursday,Mazda,Urban,Tuesday,Jan,2,Male,Married
7664,Mar,2,Sunday,Honda,Urban,Tuesday,Mar,3,Male,Married
6715,Jun,2,Friday,Honda,Urban,Monday,Jun,2,Male,Married
6495,Jul,3,Thursday,Pontiac,Urban,Wednesday,Sep,2,Female,Single
8949,Feb,4,Saturday,Honda,Urban,Wednesday,Mar,1,Male,Married
1820,Apr,2,Saturday,Pontiac,Urban,Tuesday,Apr,2,Female,Single
13947,Jul,1,Tuesday,VW,Urban,Thursday,Jul,1,Male,Married
8268,Jul,3,Tuesday,Honda,Urban,Wednesday,Jul,3,Male,Married
8297,Sep,3,Wednesday,Mazda,Urban,Monday,Sep,4,Male,Married
15314,Jan,5,Saturday,Pontiac,Urban,Monday,Jan,5,Female,Single
625,Jul,2,Wednesday,Pontiac,Urban,Monday,Jul,3,Male,Married
6547,Apr,3,Tuesday,Chevrolet,Urban,Thursday,Jun,2,Male,Married
11143,Jun,1,Tuesday,Mazda,Rural,Tuesday,Jun,4,Male,Married
11923,Jan,1,Tuesday,Toyota,Urban,Tuesday,Jan,1,Male,Married
5681,Aug,2,Saturday,Mazda,Rural,Wednesday,Aug,3,Male,Married
4014,May,5,Monday,Toyota,Rural,Monday,May,5,Male,Single
10018,Apr,1,Monday,Pontiac,Urban,Friday,Apr,4,Male,Married
15079,Oct,3,Wednesday,Honda,Urban,Monday,Oct,4,Male,Single
4384,Jun,2,Friday,Honda,Urban,Wednesday,Jun,5,Male,Single
7995,Dec,1,Friday,Toyota,Urban,Wednesday,Dec,2,Male,Single
12011,Jan,3,Friday,Mazda,Urban,Tuesday,Jan,3,Female,Married
8303,Oct,2,Tuesday,VW,Urban,Tuesday,Oct,2,Male,Married
1191,Feb,2,Friday,Toyota,Urban,Monday,Feb,3,Male,Married
10764,Apr,2,Saturday,Mazda,Urban,Monday,Apr,2,Male,Single
13485,Dec,3,Tuesday,Pontiac,Rural,Wednesday,Dec,4,Male,Married
10728,Feb,3,Sunday,Pontiac,Rural,Monday,Feb,3,Male,Married
283,Dec,4,Tuesday,Pontiac,Urban,Thursday,Jan,2,Male,Married
2517,May,3,Monday,Pontiac,Urban,Monday,May,3,Male,Married
14493,Oct,5,Sunday,Pontiac,Urban,Thursday,Nov,3,Male,Married
12503,May,4,Friday,Mazda,Urban,Friday,May,4,Male,Single
6977,Feb,2,Wednesday,Toyota,Urban,Wednesday,Feb,3,Male,Married
1688,Mar,1,Wednesday,Honda,Urban,Friday,Mar,1,Male,Single
5426,Oct,5,Tuesday,Mazda,Urban,Tuesday,Oct,5,Male,Single
5641,Feb,4,Saturday,Honda,Urban,Tuesday,Feb,5,Male,Married
5813,Apr,1,Thursday,Mazda,Urban,Friday,Apr,2,Male,Married
8555,Jan,4,Monday,Pontiac,Urban,Monday,Jan,4,Female,Married
13091,Dec,1,Saturday,Mazda,Urban,Monday,Dec,3,Female,Single
14838,Sep,3,Monday,Honda,Urban,Wednesday,Sep,4,Male,Married
12149,Aug,3,Wednesday,Pontiac,Urban,Thursday,Aug,3,Male,Married
6819,Feb,3,Saturday,Honda,Urban,Monday,Feb,3,Male,Single
1067,Nov,5,Monday,Pontiac,Urban,Thursday,Dec,1,Male,Married
12510,Dec,3,Thursday,Mazda,Urban,Tuesday,Dec,3,Male,Married
6749,Apr,4,Saturday,Pontiac,Urban,Monday,Apr,4,Male,Married
13150,Jun,4,Sunday,Honda,Urban,Monday,Jul,1,Male,Single
10818,Jan,3,Saturday,Toyota,Rural,Wednesday,Jan,3,Male,Married
6934,Jun,2,Monday,Pontiac,Urban,Wednesday,Jun,3,Female,Married
6475,May,2,Saturday,Mazda,Urban,Tuesday,May,2,Male,Single
13442,Aug,2,Saturday,Toyota,Urban,Tuesday,Aug,3,Male,Married
9653,Nov,2,Wednesday,Pontiac,Urban,Tuesday,Nov,3,Female,Married
12767,Nov,3,Thursday,Pontiac,Urban,Friday,Nov,3,Male,Married
1911,Feb,2,Saturday,Honda,Urban,Thursday,Feb,3,Male,Single
10937,May,4,Tuesday,Toyota,Urban,Thursday,May,4,Male,Married
4467,Jun,2,Monday,Pontiac,Urban,Thursday,Jun,3,Male,Married
525,Feb,2,Monday,Mazda,Urban,Tuesday,Feb,2,Male,Married
394,Apr,3,Wednesday,Mazda,Urban,Thursday,Apr,4,Male,Single
6018,Apr,4,Thursday,Mazda,Rural,Friday,May,1,Male,Married
1553,Jul,3,Thursday,Toyota,Urban,Friday,Jul,3,Male,Married
4668,Mar,2,Friday,Mazda,Urban,Monday,Mar,3,Male,Married
9958,Nov,2,Wednesday,Ford,Urban,Monday,Nov,2,Male,Married
14637,Nov,2,Friday,Mazda,Urban,Friday,Nov,3,Female,Single
11595,Oct,4,Saturday,Dodge,Urban,Friday,Nov,1,Male,Married
1676,Jan,5,Monday,Chevrolet,Rural,Monday,Jan,5,Male,Married
1901,Mar,2,Wednesday,Pontiac,Urban,Friday,Apr,1,Male,Married
10477,Jan,4,Tuesday,Pontiac,Urban,Wednesday,Feb,1,Male,Married
2079,Mar,2,Monday,Chevrolet,Urban,Tuesday,Mar,3,Male,Married
12431,Feb,2,Friday,Honda,Urban,Monday,Feb,3,Male,Married
1948,Mar,2,Friday,Pontiac,Urban,Tuesday,Mar,3,Male,Married
9485,Apr,4,Saturday,Chevrolet,Urban,Wednesday,Apr,4,Male,Married
11913,Sep,5,Saturday,Pontiac,Urban,Tuesday,Oct,1,Female,Married
14925,Jul,4,Monday,VW,Urban,Wednesday,Aug,1,Female,Divorced
4903,Oct,4,Friday,Toyota,Urban,Monday,Oct,5,Male,Married
9970,Sep,3,Friday,Pontiac,Urban,Wednesday,Sep,4,Male,Married
1340,Nov,4,Sunday,Pontiac,Urban,Tuesday,Dec,1,Male,Married
9971,Sep,4,Thursday,Mazda,Urban,Monday,Oct,5,Male,Married
13179,Dec,3,Friday,Pontiac,Urban,Wednesday,Dec,4,Male,Married
4094,May,5,Monday,Chevrolet,Urban,Wednesday,Jun,1,Male,Married
2486,Sep,1,Thursday,Pontiac,Urban,Friday,Sep,1,Male,Married
10932,Mar,4,Tuesday,Mazda,Urban,Wednesday,Mar,4,Male,Married
2699,Apr,5,Thursday,Toyota,Urban,Monday,May,1,Male,Married
15099,May,4,Wednesday,Mazda,Rural,Thursday,May,4,Male,Married
6997,Jan,2,Tuesday,Chevrolet,Urban,Wednesday,Jan,2,Male,Married
14045,Jul,1,Tuesday,Toyota,Urban,Friday,Jul,2,Male,Married
1027,Feb,1,Thursday,Chevrolet,Urban,Saturday,Apr,1,Male,Married
11358,Dec,2,Wednesday,Nisson,Urban,Friday,Dec,3,Male,Married
2636,Apr,1,Tuesday,Toyota,Urban,Wednesday,Apr,1,Male,Married
3158,Sep,2,Saturday,Chevrolet,Urban,Friday,Sep,3,Male,Married
2428,Jun,1,Tuesday,Honda,Urban,Wednesday,Jun,2,Male,Married
1277,Sep,2,Saturday,Honda,Urban,Monday,Sep,2,Female,Married
3273,May,5,Tuesday,Pontiac,Urban,Tuesday,Jun,3,Male,Married
571,Mar,3,Monday,Pontiac,Urban,Tuesday,Apr,3,Male,Married
748,Mar,2,Friday,Mazda,Urban,Tuesday,Mar,3,Male,Married
7838,Mar,4,Friday,Mazda,Urban,Monday,Mar,4,Male,Married
5256,Dec,3,Monday,Mazda,Urban,Wednesday,Jan,1,Male,Married
9700,Jun,2,Monday,Ford,Urban,Monday,Jun,2,Male,Married
4909,Jul,1,Tuesday,Honda,Urban,Friday,Jul,2,Male,Married
1338,Feb,3,Thursday,Honda,Urban,Friday,Feb,3,Male,Single
1154,Jun,5,Tuesday,Pontiac,Urban,Monday,Jul,1,Male,Single
6838,Feb,2,Monday,Chevrolet,Urban,Saturday,Feb,2,Male,Single
2709,Sep,3,Tuesday,Honda,Urban,Monday,Sep,4,Male,Married
12283,Dec,1,Friday,Honda,Urban,Friday,Dec,1,Female,Married
10279,Apr,1,Tuesday,Ford,Urban,Wednesday,Apr,1,Male,Married
7216,Aug,2,Monday,Chevrolet,Rural,Thursday,Aug,2,Male,Married
14213,May,2,Monday,Mazda,Urban,Wednesday,May,2,Male,Married
5695,Jul,4,Wednesday,Honda,Urban,Wednesday,Jul,4,Male,Married
4712,Jul,3,Tuesday,Toyota,Urban,Tuesday,Aug,1,Male,Single
64,Dec,1,Friday,Pontiac,Urban,Tuesday,Dec,2,Male,Single
6775,Aug,4,Thursday,Ford,Urban,Tuesday,Oct,2,Male,Single
3320,Oct,1,Monday,Mazda,Urban,Monday,Oct,1,Male,Married
2147,Apr,2,Sunday,Mazda,Urban,Monday,Apr,2,Male,Single
5525,Jun,4,Monday,Pontiac,Urban,Monday,Jun,4,Male,Single
1240,Mar,3,Thursday,Chevrolet,Urban,Thursday,Mar,3,Male,Single
4263,Oct,3,Wednesday,Chevrolet,Urban,Wednesday,Oct,3,Male,Single
11947,Jul,4,Thursday,Honda,Urban,Friday,Jul,4,Male,Married
3204,Sep,4,Friday,Toyota,Urban,Friday,Sep,4,Male,Married
8450,Jan,1,Friday,Honda,Urban,Tuesday,Jan,4,Male,Married
7112,Jan,4,Tuesday,Pontiac,Urban,Monday,Jan,5,Male,Married
8436,Oct,3,Saturday,Chevrolet,Urban,Monday,Oct,3,Male,Married
11543,Nov,2,Monday,Mazda,Urban,Wednesday,Nov,2,Male,Single
5082,Jul,3,Thursday,Mazda,Urban,Monday,Jul,3,Male,Married
14610,Jun,4,Friday,Pontiac,Urban,Wednesday,Jul,1,Male,Single
6779,Jun,5,Wednesday,Honda,Urban,Monday,Jul,1,Male,Married
6112,Sep,1,Thursday,Pontiac,Urban,Thursday,Sep,2,Male,Single
8671,Dec,3,Saturday,Pontiac,Urban,Thursday,Dec,4,Male,Married
5305,Jan,2,Friday,Mazda,Rural,Monday,Jan,2,Male,Single
1053,Feb,4,Thursday,Honda,Urban,Friday,Feb,4,Male,Single
12016,Nov,2,Monday,Mercury,Urban,Wednesday,Jan,3,Female,Married
8786,Mar,2,Monday,Honda,Urban,Wednesday,Mar,2,Female,Single
6383,Aug,2,Wednesday,Honda,Urban,Wednesday,Aug,2,Male,Married
4326,Nov,3,Monday,Mazda,Urban,Monday,Nov,4,Male,Married
3609,Feb,2,Wednesday,Honda,Urban,Friday,Feb,2,Male,Single
10927,Mar,3,Monday,Mazda,Urban,Tuesday,Mar,4,Male,Married
4169,Jul,1,Wednesday,Pontiac,Urban,Wednesday,Jul,2,Male,Married
5826,Nov,3,Thursday,Pontiac,Urban,Friday,Nov,3,Male,Married
10545,Oct,5,Friday,Accura,Urban,Monday,Oct,5,Male,Married
11776,Jun,1,Thursday,Chevrolet,Urban,Monday,Jun,1,Male,Single
11701,Oct,1,Tuesday,Ford,Urban,Tuesday,Oct,1,Male,Married
11503,Sep,4,Thursday,Honda,Urban,Monday,Sep,4,Male,Single
3989,Jul,4,Monday,Pontiac,Urban,Monday,Jul,4,Female,Married
2859,Oct,2,Wednesday,Toyota,Urban,Thursday,Oct,2,Female,Married
10986,Jul,5,Friday,Toyota,Urban,Tuesday,Aug,1,Female,Single
5848,May,2,Monday,Mazda,Urban,Tuesday,May,2,Male,Single
6456,Sep,1,Tuesday,Pontiac,Urban,Tuesday,Sep,2,Female,Married
3785,May,3,Wednesday,Mazda,Rural,Tuesday,Oct,1,Male,Married
14824,Jun,2,Tuesday,Toyota,Urban,Wednesday,Jun,3,Male,Married
7109,Jan,5,Friday,Pontiac,Urban,Wednesday,Feb,1,Male,Married
5000,Oct,2,Sunday,Mazda,Urban,Monday,Oct,2,Male,Married
12207,Oct,3,Friday,Mazda,Urban,Friday,Oct,3,Male,Married
343,Jan,4,Thursday,Honda,Urban,Friday,Jan,4,Male,Married
6580,Sep,4,Thursday,Honda,Urban,Tuesday,Sep,4,Male,Married
11559,May,1,Thursday,Pontiac,Urban,Wednesday,Jun,1,Male,Married
6114,Sep,4,Thursday,Chevrolet,Urban,Wednesday,Oct,1,Male,Married
13533,Mar,3,Wednesday,Honda,Urban,Wednesday,Mar,3,Male,Married
13354,Oct,1,Tuesday,Ferrari,Rural,Wednesday,Oct,1,Male,Married
983,Aug,2,Wednesday,Mazda,Rural,Thursday,Aug,2,Male,Married
8277,Sep,3,Tuesday,Saab,Urban,Tuesday,Sep,3,Male,Single
4218,Apr,3,Wednesday,VW,Urban,Wednesday,Apr,3,Male,Married
4475,May,1,Thursday,Toyota,Urban,Friday,May,1,Male,Married
9403,Nov,4,Friday,Honda,Urban,Wednesday,Nov,5,Male,Single
8453,Dec,2,Wednesday,Toyota,Urban,Monday,Dec,2,Male,Married
1123,May,5,Wednesday,Honda,Urban,Wednesday,May,5,Male,Married
4300,Jun,1,Sunday,Toyota,Urban,Friday,Jun,2,Male,Married
12833,Feb,4,Wednesday,Accura,Urban,Thursday,Feb,4,Male,Married
10083,Oct,2,Wednesday,Mazda,Urban,Friday,Oct,3,Male,Married
15257,Aug,3,Saturday,Pontiac,Urban,Monday,Aug,4,Male,Single
1110,Oct,2,Thursday,Chevrolet,Urban,Monday,Oct,4,Male,Married
4359,Jun,2,Wednesday,Toyota,Urban,Thursday,Jun,3,Female,Single
7892,Dec,1,Monday,Honda,Urban,Tuesday,Dec,1,Male,Single
4925,Oct,1,Tuesday,Mazda,Urban,Monday,Oct,2,Male,Married
5941,Feb,2,Wednesday,Ford,Urban,Thursday,Mar,1,Male,Married
253,Jan,3,Wednesday,Pontiac,Urban,Thursday,Jan,3,Male,Married
369,Jun,2,Monday,Honda,Urban,Thursday,Jun,3,Male,Married
4788,Dec,3,Friday,Pontiac,Urban,Friday,Dec,3,Male,Single
14499,Aug,4,Tuesday,Honda,Urban,Wednesday,Aug,4,Male,Married
14252,Feb,4,Sunday,Toyota,Urban,Thursday,Mar,1,Male,Single
6771,Jul,4,Wednesday,Honda,Urban,Monday,Aug,2,Male,Married
8816,Mar,1,Wednesday,Mazda,Urban,Wednesday,Mar,1,Male,Married
11385,Jul,2,Friday,Honda,Urban,Tuesday,Jul,2,Male,Single
13879,Mar,1,Wednesday,Mazda,Urban,Friday,Mar,1,Male,Single
9938,Mar,4,Friday,Toyota,Urban,Monday,Mar,4,Male,Single
14072,May,1,Friday,Honda,Urban,Friday,May,1,Male,Married
11365,Jun,4,Sunday,Toyota,Urban,Wednesday,Jun,5,Male,Married
6940,Feb,2,Tuesday,Mazda,Urban,Tuesday,Feb,2,Male,Single
13264,Feb,4,Friday,Pontiac,Urban,Monday,Feb,5,Male,Married
1426,Feb,3,Sunday,Toyota,Urban,Wednesday,Mar,1,Male,Married
3515,Sep,3,Friday,Toyota,Urban,Monday,Sep,3,Male,Married
15375,Nov,2,Saturday,Pontiac,Urban,Monday,Nov,4,Female,Single
4718,Mar,4,Monday,Honda,Urban,Wednesday,Mar,5,Male,Married
903,Jul,2,Wednesday,Pontiac,Urban,Wednesday,Jul,2,Male,Single
4269,Nov,4,Tuesday,Pontiac,Urban,Wednesday,Nov,4,Male,Married
4948,Jan,2,Monday,Mazda,Urban,Monday,Jan,2,Male,Married
1814,Sep,1,Tuesday,Chevrolet,Urban,Wednesday,Sep,3,Male,Married
4665,Dec,3,Wednesday,Toyota,Urban,Tuesday,Dec,3,Male,Single
10882,Jul,3,Saturday,Honda,Rural,Monday,Jul,3,Male,Single
5206,May,2,Monday,Pontiac,Urban,Monday,May,2,Female,Married
5068,Mar,4,Monday,Honda,Urban,Friday,Apr,1,Male,Single
10594,Apr,3,Saturday,Toyota,Rural,Tuesday,Apr,3,Male,Married
6071,Jun,4,Sunday,Pontiac,Urban,Thursday,Jun,5,Male,Married
7385,Oct,4,Saturday,Mazda,Urban,Tuesday,Jul,4,Male,Married
6516,Mar,5,Tuesday,Chevrolet,Urban,Friday,Apr,1,Male,Married
8992,Jun,4,Friday,Ford,Rural,Monday,Jun,4,Male,Single
9573,Dec,2,Monday,Ford,Rural,Tuesday,Dec,2,Male,Married
786,Jan,4,Sunday,Honda,Urban,Monday,Feb,2,Male,Married
2708,Aug,1,Sunday,Pontiac,Urban,Monday,Aug,2,Female,Single
2382,Nov,2,Monday,Pontiac,Urban,Monday,Nov,2,Male,Married
12350,Oct,5,Tuesday,Ford,Rural,Thursday,Nov,1,Male,Married
7079,Feb,3,Sunday,Toyota,Urban,Tuesday,Feb,4,Male,Single
9816,May,2,Saturday,Pontiac,Urban,Tuesday,May,5,Male,Single
13761,Aug,3,Friday,Pontiac,Rural,Monday,Aug,4,Male,Married
