age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,uid
46,blue-collar,married,secondary,no,519,yes,no,cellular,25,aug,217,6,-1,0,unknown,no,22704
45,blue-collar,married,secondary,no,221,no,yes,cellular,25,aug,153,4,-1,0,unknown,no,22705
49,blue-collar,married,secondary,no,1860,no,no,cellular,25,aug,150,3,-1,0,unknown,no,22706
42,management,single,tertiary,no,0,no,no,cellular,25,aug,129,4,-1,0,unknown,no,22707
54,housemaid,married,primary,no,470,no,no,cellular,25,aug,104,6,-1,0,unknown,no,22708
47,technician,married,tertiary,no,52,no,no,cellular,25,aug,93,5,-1,0,unknown,no,22709
54,blue-collar,married,primary,no,211,no,no,cellular,25,aug,160,6,-1,0,unknown,no,22710
43,technician,married,secondary,no,246,no,no,cellular,25,aug,113,6,-1,0,unknown,no,22711
52,management,single,tertiary,no,597,no,no,cellular,25,aug,84,4,-1,0,unknown,no,22712
33,management,single,tertiary,no,-2,no,yes,cellular,25,aug,147,6,-1,0,unknown,no,22713
49,housemaid,married,primary,no,-75,no,yes,cellular,25,aug,125,4,-1,0,unknown,no,22714
60,retired,married,tertiary,no,0,no,no,cellular,25,aug,101,3,-1,0,unknown,no,22715
32,management,married,tertiary,no,1232,no,no,cellular,25,aug,97,4,-1,0,unknown,no,22716
30,technician,single,secondary,no,175,no,no,cellular,25,aug,167,4,-1,0,unknown,no,22717
34,technician,married,secondary,no,545,yes,no,cellular,25,aug,96,4,-1,0,unknown,no,22718
37,technician,married,secondary,no,5380,no,no,cellular,25,aug,123,6,-1,0,unknown,no,22719
36,management,married,tertiary,no,46,no,no,cellular,25,aug,84,4,-1,0,unknown,no,22720
39,management,single,tertiary,no,0,no,no,cellular,25,aug,342,5,-1,0,unknown,no,22721
33,housemaid,married,primary,no,2054,no,no,cellular,25,aug,472,6,-1,0,unknown,yes,22722
49,management,divorced,tertiary,no,112,no,no,cellular,25,aug,62,10,-1,0,unknown,no,22723
47,technician,married,secondary,no,1990,yes,yes,cellular,25,aug,108,4,-1,0,unknown,no,22724
46,management,married,secondary,no,0,no,no,telephone,25,aug,67,10,-1,0,unknown,no,22725
33,management,single,tertiary,no,369,no,no,cellular,25,aug,143,10,-1,0,unknown,no,22726
43,housemaid,married,primary,no,0,yes,no,cellular,25,aug,152,3,-1,0,unknown,no,22727
54,self-employed,married,secondary,no,745,no,yes,cellular,25,aug,110,6,-1,0,unknown,no,22728
39,technician,single,tertiary,no,-41,no,yes,cellular,25,aug,40,15,-1,0,unknown,no,22729
58,blue-collar,married,primary,no,0,no,no,telephone,25,aug,176,5,-1,0,unknown,no,22730
59,technician,married,secondary,no,283,no,no,cellular,25,aug,272,4,-1,0,unknown,no,22731
51,housemaid,married,secondary,no,603,no,no,cellular,25,aug,122,3,-1,0,unknown,no,22732
40,technician,married,secondary,no,214,no,no,cellular,25,aug,59,6,-1,0,unknown,no,22733
56,management,single,tertiary,no,3694,no,no,cellular,25,aug,57,4,-1,0,unknown,no,22734
41,management,divorced,tertiary,yes,-68,yes,yes,cellular,25,aug,463,22,-1,0,unknown,no,22735
30,management,single,tertiary,no,171,no,no,cellular,25,aug,301,4,-1,0,unknown,no,22736
45,self-employed,married,secondary,no,-124,no,no,cellular,25,aug,343,4,-1,0,unknown,no,22737
35,technician,single,tertiary,no,2650,no,no,cellular,25,aug,133,8,-1,0,unknown,no,22738
33,management,married,tertiary,no,584,yes,no,cellular,25,aug,508,5,-1,0,unknown,no,22739
49,housemaid,married,secondary,no,905,no,no,cellular,25,aug,102,4,-1,0,unknown,no,22740
45,technician,single,secondary,no,21,yes,no,cellular,25,aug,72,3,-1,0,unknown,no,22741
37,technician,married,tertiary,no,905,yes,no,cellular,25,aug,111,7,-1,0,unknown,no,22742
59,blue-collar,married,primary,no,-546,no,no,cellular,25,aug,1152,6,-1,0,unknown,yes,22743
54,housemaid,married,primary,no,182,no,no,cellular,25,aug,284,4,-1,0,unknown,no,22744
38,management,married,tertiary,no,1463,yes,no,cellular,25,aug,425,4,-1,0,unknown,no,22745
35,management,divorced,tertiary,no,29,no,no,cellular,25,aug,157,4,-1,0,unknown,no,22746
33,technician,married,tertiary,no,74,no,no,cellular,25,aug,116,4,-1,0,unknown,no,22747
37,unemployed,divorced,tertiary,no,1085,no,no,cellular,25,aug,146,4,-1,0,unknown,no,22748
30,management,married,tertiary,no,42,no,no,cellular,25,aug,115,6,-1,0,unknown,no,22749
52,technician,married,secondary,no,3431,no,no,cellular,25,aug,72,4,-1,0,unknown,no,22750
45,admin.,married,secondary,no,309,no,no,cellular,25,aug,72,4,-1,0,unknown,no,22751
33,technician,married,secondary,no,0,no,no,cellular,25,aug,72,2,-1,0,unknown,no,22752
34,technician,married,tertiary,no,11126,no,no,cellular,25,aug,140,4,-1,0,unknown,no,22753
36,technician,single,secondary,no,351,no,no,cellular,25,aug,88,3,-1,0,unknown,no,22754
49,technician,married,secondary,no,626,yes,no,cellular,25,aug,90,4,-1,0,unknown,no,22755
54,blue-collar,married,secondary,no,497,yes,no,cellular,25,aug,150,4,-1,0,unknown,no,22756
33,unemployed,single,secondary,no,0,yes,yes,cellular,25,aug,159,2,-1,0,unknown,no,22757
54,blue-collar,married,secondary,no,2059,yes,no,cellular,25,aug,177,4,-1,0,unknown,no,22758
58,blue-collar,married,primary,no,5188,yes,no,cellular,25,aug,606,6,-1,0,unknown,yes,22759
33,technician,married,secondary,no,430,no,no,cellular,25,aug,250,2,-1,0,unknown,no,22760
36,technician,married,secondary,no,0,no,no,cellular,25,aug,248,2,-1,0,unknown,no,22761
30,management,married,tertiary,no,604,no,no,cellular,25,aug,132,2,-1,0,unknown,no,22762
36,management,divorced,tertiary,no,2397,no,no,cellular,25,aug,93,9,-1,0,unknown,no,22763
44,management,married,tertiary,no,-68,no,yes,cellular,25,aug,121,4,-1,0,unknown,no,22764
39,technician,married,secondary,no,3825,no,yes,cellular,25,aug,94,6,-1,0,unknown,no,22765
55,management,single,tertiary,no,43074,yes,no,cellular,25,aug,92,6,-1,0,unknown,no,22766
55,management,divorced,tertiary,no,407,yes,yes,cellular,25,aug,65,8,-1,0,unknown,no,22767
34,technician,married,secondary,no,2,yes,no,cellular,25,aug,324,4,-1,0,unknown,no,22768
47,services,married,secondary,no,756,no,no,cellular,25,aug,154,4,-1,0,unknown,no,22769
35,technician,divorced,secondary,no,0,no,no,cellular,25,aug,124,4,-1,0,unknown,no,22770
41,management,married,tertiary,no,51,no,no,cellular,25,aug,140,8,-1,0,unknown,no,22771
54,blue-collar,married,secondary,no,983,no,no,cellular,25,aug,54,6,-1,0,unknown,no,22772
39,technician,divorced,secondary,no,130,yes,no,cellular,25,aug,14,18,-1,0,unknown,no,22773
33,technician,married,tertiary,no,463,no,no,cellular,25,aug,390,7,-1,0,unknown,no,22774
33,technician,single,tertiary,no,49,no,no,cellular,25,aug,476,3,-1,0,unknown,no,22775
45,admin.,married,secondary,no,356,no,no,cellular,25,aug,42,6,-1,0,unknown,no,22776
50,management,married,tertiary,no,3327,no,no,cellular,25,aug,74,7,-1,0,unknown,no,22777
30,management,married,tertiary,no,144,yes,no,cellular,25,aug,23,17,-1,0,unknown,no,22778
52,services,married,secondary,no,-298,no,no,cellular,25,aug,228,4,-1,0,unknown,no,22779
52,unknown,married,secondary,no,142,no,no,cellular,25,aug,112,6,-1,0,unknown,no,22780
34,management,married,tertiary,no,169,no,no,cellular,25,aug,115,4,-1,0,unknown,no,22781
55,management,married,tertiary,no,740,no,no,cellular,25,aug,57,3,-1,0,unknown,no,22782
42,self-employed,married,tertiary,no,1385,no,no,cellular,25,aug,15,19,-1,0,unknown,no,22783
46,management,married,tertiary,no,-3,no,no,cellular,25,aug,728,4,-1,0,unknown,no,22784
30,technician,single,tertiary,no,-266,no,yes,cellular,25,aug,66,4,-1,0,unknown,no,22785
53,services,married,secondary,no,1461,no,no,cellular,25,aug,262,6,-1,0,unknown,no,22786
33,technician,single,secondary,no,291,no,no,cellular,25,aug,72,6,-1,0,unknown,no,22787
31,management,married,tertiary,no,2652,no,no,cellular,25,aug,9,9,-1,0,unknown,no,22788
31,management,single,tertiary,no,0,no,no,cellular,25,aug,11,16,-1,0,unknown,no,22789
31,management,single,tertiary,no,0,no,no,cellular,25,aug,9,12,-1,0,unknown,no,22790
59,retired,married,unknown,no,0,no,no,cellular,25,aug,213,4,-1,0,unknown,no,22791
30,technician,married,tertiary,no,3418,no,no,cellular,25,aug,211,7,-1,0,unknown,no,22792
39,entrepreneur,married,tertiary,no,0,no,no,cellular,25,aug,422,10,-1,0,unknown,no,22793
46,technician,married,secondary,no,518,no,no,cellular,25,aug,68,6,-1,0,unknown,no,22794
44,technician,divorced,secondary,no,242,no,no,cellular,25,aug,69,4,-1,0,unknown,no,22795
55,self-employed,married,secondary,no,198,no,no,cellular,25,aug,111,6,-1,0,unknown,no,22796
51,blue-collar,married,primary,no,7134,no,no,cellular,25,aug,36,7,-1,0,unknown,no,22797
34,management,married,tertiary,no,8,no,no,cellular,25,aug,169,4,-1,0,unknown,no,22798
35,technician,divorced,tertiary,no,-995,yes,yes,cellular,25,aug,734,4,-1,0,unknown,no,22799
37,technician,married,tertiary,no,0,yes,no,cellular,25,aug,484,4,-1,0,unknown,no,22800
48,management,married,tertiary,no,190,no,no,cellular,25,aug,14,22,-1,0,unknown,no,22801
41,technician,married,secondary,no,1190,no,no,cellular,25,aug,69,4,-1,0,unknown,no,22802
43,technician,married,secondary,no,275,no,no,cellular,25,aug,69,6,-1,0,unknown,no,22803
50,retired,divorced,tertiary,no,-300,no,yes,cellular,25,aug,692,4,-1,0,unknown,no,22804
33,technician,married,secondary,no,0,no,no,cellular,25,aug,296,8,-1,0,unknown,no,22805
60,management,married,tertiary,yes,-311,no,no,cellular,25,aug,151,6,-1,0,unknown,no,22806
46,blue-collar,married,secondary,no,1272,no,no,cellular,25,aug,164,4,-1,0,unknown,no,22807
34,housemaid,single,tertiary,no,43,no,no,cellular,25,aug,198,8,-1,0,unknown,no,22808
47,blue-collar,married,primary,no,85,no,no,cellular,25,aug,454,4,-1,0,unknown,no,22809
30,management,single,tertiary,no,73,no,no,cellular,25,aug,114,6,-1,0,unknown,no,22810
48,blue-collar,married,primary,no,193,no,yes,cellular,25,aug,64,10,-1,0,unknown,no,22811
33,technician,single,tertiary,no,6,no,no,cellular,25,aug,30,4,-1,0,unknown,no,22812
35,management,single,tertiary,no,0,no,no,cellular,25,aug,81,6,-1,0,unknown,no,22813
50,management,married,tertiary,no,1396,no,no,cellular,25,aug,731,6,-1,0,unknown,yes,22814
34,management,married,secondary,no,15,no,no,cellular,25,aug,184,7,-1,0,unknown,no,22815
48,unknown,married,unknown,no,558,no,no,cellular,25,aug,433,6,-1,0,unknown,no,22816
32,management,single,tertiary,no,776,no,no,cellular,25,aug,361,8,-1,0,unknown,no,22817
54,blue-collar,married,secondary,no,2255,no,no,cellular,25,aug,304,6,-1,0,unknown,no,22818
52,technician,married,secondary,no,141,no,no,cellular,25,aug,160,7,-1,0,unknown,no,22819
31,management,single,tertiary,no,0,no,no,cellular,25,aug,101,6,-1,0,unknown,no,22820
32,management,married,secondary,no,251,no,no,cellular,25,aug,272,6,-1,0,unknown,no,22821
49,blue-collar,married,primary,no,-117,no,no,cellular,25,aug,53,6,-1,0,unknown,no,22822
38,management,divorced,tertiary,no,162,no,no,cellular,25,aug,323,4,-1,0,unknown,no,22823
33,entrepreneur,married,tertiary,no,-886,yes,yes,cellular,25,aug,103,6,-1,0,unknown,no,22824
55,management,single,tertiary,no,1498,no,no,cellular,25,aug,340,5,-1,0,unknown,no,22825
47,technician,divorced,secondary,no,157,yes,no,cellular,25,aug,163,8,-1,0,unknown,no,22826
35,technician,single,secondary,no,-816,no,no,cellular,25,aug,54,19,-1,0,unknown,no,22827
31,technician,single,secondary,no,105,no,no,cellular,25,aug,87,4,-1,0,unknown,no,22828
56,management,married,tertiary,no,154,no,no,cellular,25,aug,454,6,-1,0,unknown,no,22829
39,self-employed,married,secondary,no,454,yes,no,cellular,25,aug,171,8,-1,0,unknown,no,22830
30,management,married,tertiary,no,4874,yes,no,cellular,25,aug,134,10,-1,0,unknown,no,22831
52,technician,married,secondary,no,306,no,no,cellular,25,aug,265,4,-1,0,unknown,no,22832
51,unemployed,married,secondary,no,1052,no,no,cellular,25,aug,280,4,-1,0,unknown,no,22833
59,retired,married,primary,no,255,no,yes,cellular,25,aug,62,6,-1,0,unknown,no,22834
34,technician,single,tertiary,no,6742,no,no,cellular,25,aug,318,6,-1,0,unknown,no,22835
33,technician,single,secondary,no,31,no,yes,cellular,25,aug,131,3,-1,0,unknown,no,22836
55,services,married,primary,no,269,no,no,cellular,25,aug,89,4,-1,0,unknown,no,22837
34,management,single,tertiary,no,280,no,no,cellular,25,aug,119,11,-1,0,unknown,no,22838
51,services,married,secondary,no,135,no,no,cellular,25,aug,105,4,-1,0,unknown,no,22839
32,technician,single,secondary,no,309,yes,yes,cellular,25,aug,99,3,-1,0,unknown,no,22840
53,technician,single,secondary,no,925,no,no,cellular,25,aug,930,3,-1,0,unknown,yes,22841
35,management,married,tertiary,no,0,no,no,cellular,25,aug,484,4,-1,0,unknown,no,22842
57,retired,married,secondary,no,49,yes,yes,cellular,25,aug,93,4,-1,0,unknown,no,22843
42,technician,married,secondary,no,827,no,no,cellular,25,aug,153,3,-1,0,unknown,no,22844
32,management,single,tertiary,no,1882,no,no,cellular,25,aug,497,5,-1,0,unknown,yes,22845
33,management,married,tertiary,no,130,no,no,cellular,25,aug,121,8,-1,0,unknown,no,22846
44,management,married,tertiary,no,792,no,no,cellular,25,aug,630,7,-1,0,unknown,yes,22847
41,management,divorced,tertiary,no,1064,no,no,cellular,25,aug,81,4,-1,0,unknown,no,22848
36,management,single,tertiary,no,1841,yes,no,cellular,25,aug,141,4,-1,0,unknown,no,22849
40,management,married,tertiary,no,24450,no,no,cellular,25,aug,73,2,-1,0,unknown,no,22850
40,technician,single,secondary,no,103,no,no,cellular,25,aug,106,7,-1,0,unknown,no,22851
45,blue-collar,married,secondary,no,1335,yes,no,cellular,25,aug,702,2,-1,0,unknown,no,22852
31,management,married,tertiary,no,29230,no,no,cellular,25,aug,50,9,-1,0,unknown,no,22853
48,services,married,primary,no,337,no,no,cellular,25,aug,770,12,-1,0,unknown,no,22854
33,technician,single,secondary,no,79,yes,no,cellular,25,aug,163,3,-1,0,unknown,no,22855
39,management,divorced,tertiary,no,355,yes,no,cellular,25,aug,313,5,-1,0,unknown,no,22856
55,technician,divorced,secondary,no,61,yes,yes,cellular,25,aug,113,3,-1,0,unknown,no,22857
31,technician,married,secondary,no,518,yes,no,cellular,25,aug,348,2,-1,0,unknown,no,22858
30,management,single,tertiary,no,4213,no,no,cellular,25,aug,142,4,-1,0,unknown,no,22859
31,technician,single,tertiary,no,1051,no,no,cellular,25,aug,106,4,-1,0,unknown,no,22860
32,technician,single,secondary,no,230,yes,no,cellular,25,aug,256,8,-1,0,unknown,no,22861
54,management,divorced,tertiary,no,3777,no,no,cellular,25,aug,56,2,-1,0,unknown,no,22862
45,blue-collar,married,primary,no,179,no,no,cellular,25,aug,122,3,-1,0,unknown,no,22863
56,services,married,secondary,no,17,no,yes,cellular,25,aug,342,5,-1,0,unknown,no,22864
30,technician,single,secondary,no,276,no,yes,cellular,25,aug,159,5,-1,0,unknown,no,22865
57,technician,married,secondary,no,109,no,no,cellular,25,aug,124,4,-1,0,unknown,no,22866
58,management,married,tertiary,no,657,no,no,cellular,25,aug,378,3,-1,0,unknown,no,22867
55,blue-collar,married,primary,no,2275,no,no,cellular,25,aug,139,9,-1,0,unknown,no,22868
31,technician,single,tertiary,no,244,no,no,cellular,25,aug,170,4,-1,0,unknown,no,22869
47,blue-collar,married,primary,no,259,no,no,cellular,25,aug,83,5,-1,0,unknown,no,22870
31,entrepreneur,single,tertiary,no,95,no,no,cellular,25,aug,51,5,-1,0,unknown,no,22871
59,management,divorced,tertiary,no,6144,yes,no,cellular,25,aug,56,5,-1,0,unknown,no,22872
40,housemaid,married,primary,no,34,no,no,cellular,25,aug,115,4,-1,0,unknown,no,22873
52,technician,married,secondary,no,981,no,no,cellular,25,aug,43,4,-1,0,unknown,no,22874
47,blue-collar,married,primary,no,799,no,no,cellular,25,aug,67,4,-1,0,unknown,no,22875
47,blue-collar,married,unknown,yes,162,no,no,cellular,25,aug,366,3,-1,0,unknown,yes,22876
41,technician,married,tertiary,no,63,no,no,cellular,25,aug,36,3,-1,0,unknown,no,22877
45,services,married,secondary,no,222,no,no,cellular,25,aug,119,11,-1,0,unknown,no,22878
32,management,married,tertiary,no,1900,no,no,cellular,25,aug,121,16,-1,0,unknown,no,22879
32,management,single,tertiary,no,3367,no,no,cellular,25,aug,153,4,-1,0,unknown,no,22880
38,technician,married,secondary,no,0,no,no,cellular,25,aug,431,5,-1,0,unknown,no,22881
32,technician,married,secondary,no,255,no,yes,cellular,25,aug,63,5,-1,0,unknown,no,22882
30,management,single,tertiary,no,420,no,no,cellular,25,aug,618,3,-1,0,unknown,no,22883
45,technician,married,tertiary,no,285,no,no,cellular,25,aug,202,7,-1,0,unknown,no,22884
46,blue-collar,married,primary,no,185,no,no,cellular,25,aug,226,10,-1,0,unknown,no,22885
31,management,married,tertiary,no,166,no,no,cellular,25,aug,392,6,-1,0,unknown,no,22886
30,management,single,tertiary,no,0,no,no,cellular,25,aug,144,18,-1,0,unknown,no,22887
52,management,married,tertiary,no,3163,no,no,cellular,25,aug,56,6,-1,0,unknown,no,22888
31,technician,single,tertiary,no,23,no,no,cellular,25,aug,121,3,-1,0,unknown,no,22889
35,technician,married,secondary,no,31,no,no,cellular,25,aug,390,8,-1,0,unknown,no,22890
49,technician,married,secondary,no,5244,no,no,cellular,25,aug,60,4,-1,0,unknown,no,22891
51,self-employed,married,primary,no,1242,no,no,cellular,25,aug,75,11,-1,0,unknown,no,22892
48,services,married,secondary,no,4300,yes,yes,cellular,25,aug,99,6,-1,0,unknown,no,22893
34,management,married,tertiary,no,224,no,no,cellular,25,aug,108,5,-1,0,unknown,no,22894
49,admin.,married,secondary,no,272,no,yes,telephone,25,aug,146,18,-1,0,unknown,no,22895
34,technician,married,secondary,no,354,no,no,cellular,25,aug,358,3,-1,0,unknown,no,22896
54,management,married,tertiary,no,1451,no,no,cellular,25,aug,308,7,-1,0,unknown,no,22897
54,management,married,tertiary,no,1331,no,no,cellular,25,aug,240,9,-1,0,unknown,no,22898
